,ID,EARNINGS,S,EXP,FEMALE,MALE,BYEAR,AGE,AGEMBTH,HHINC97,POVRAT97,HHBMBF,HHBMOF,HHOMBF,HHBMONLY,HHBFONLY,HHOTHER,MSA97NO,MSA97NCC,MSA97CC,MSA97NK,ETHBLACK,ETHHISP,ETHWHITE,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCGED,EDUCDO,PRMONM,PRMONF,PRMSTYUN,PRMSTYPE,PRMSTYAN,PRMSTYAE,PRFSTYUN,PRFSTYPE,PRFSTYAN,PRFSTYAE,SINGLE,MARRIED,COHABIT,OTHSING,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,FAITHM,ASVABAR,ASVABWK,ASVABPC,ASVABMK,ASVABNO,ASVABCS,ASVABC,ASVABC4,VERBAL,ASVABMV,HEIGHT,WEIGHT04,WEIGHT11,SF,SM,SFR,SMR,SIBLINGS,REG97NE,REG97NC,REG97S,REG97W,RS97RURL,RS97URBN,RS97UNKN,JOBS,HOURS,TENURE,CATGOV,CATPRI,CATNPO,CATMIS,CATSE,COLLBARG,URBAN,REGNE,REGNC,REGW,REGS,MSA11NO,MSA11NCC,MSA11CC,MSA11NK,MSA11NIC
14,649,31.73,18,4.923077,0,1,1982,29,28.0,77400.0,413.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0.570518,-0.421452,-0.5918006,1.226427,0.1507418,-1.035889,0.0346679,0.2186724,-0.5407364,49154,70,180,200,14,14,14.0,14.0,2,0,1,0,0,0,1,0,9.0,40,3.884615,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
15,2730,27.27,18,6.980769,0,1,1980,31,32.0,61760.0,375.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,0,0,1.662593,0.8694142,0.8283687,1.679662,0.9819242,1.23818,1.379795,1.40973,0.9049966,91806,70,155,170,16,16,16.0,16.0,1,0,1,0,0,1,0,0,8.0,55,5.923077,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
16,2050,16.92,19,5.884615,0,1,1981,30,30.0,,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0.6148881,0.546108,-0.1349667,0.527154,-0.5025662,0.1655544,0.4504557,0.4339999,0.2188602,65383,69,195,194,16,13,16.0,13.0,2,0,0,1,0,0,1,0,9.0,50,5.326923,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
17,987,50.48,13,3.442308,0,1,1983,28,24.0,18900.0,150.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0.5623855,0.5768825,0.7555702,0.7886332,-0.6801175,-0.5301934,0.6747651,0.7502894,0.7101744,78318,70,205,225,18,12,,12.0,1,0,0,0,1,0,1,0,3.0,80,0.3846154,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
18,1090,49.02,13,7.5,0,1,1982,29,20.0,36000.0,225.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9.0,,0.0,0.0,0.0,1.0,,,,,0,1,0,0,0,1,0,0,0,0,0.9360111,0.5244685,0.8405336,0.7864723,1.416221,0.0341242,0.8890432,0.863345,0.7275323,84379,70,180,175,12,13,,13.0,4,1,0,0,0,0,1,0,3.0,40,1.634615,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
19,5607,25.6,12,6.326923,0,1,1984,27,23.0,31500.0,198.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,-0.7795934,-0.1301155,0.1097209,-0.31524,0.6633154,-0.117836,-0.4344917,-0.3127041,-0.011268,44283,73,180,185,12,12,12.0,12.0,2,0,0,1,0,1,0,0,11.0,40,0.5961539,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
20,3533,20.0,19,0.0,0,1,1981,30,28.0,,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0.4230841,0.2581202,0.4199516,0.1561081,-1.086012,0.6433668,0.4183944,0.3511925,0.3612081,59470,72,190,190,9,12,9.0,12.0,1,0,0,1,0,0,1,0,5.0,10,0.6730769,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
21,2483,65.0,12,9.807693,0,1,1983,28,24.0,78000.0,490.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0.6305825,0.5552549,0.1094629,1.486199,0.7245056,-0.7162691,0.5287601,0.7777207,0.3540867,75525,70,180,200,10,12,14.0,12.0,2,1,0,0,0,1,0,0,4.0,45,0.4423077,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
22,1768,12.35,13,10.30769,0,1,1980,31,23.0,44000.0,348.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,,0.0,1.0,0.0,0.0,,,,,1,0,0,0,0,1,0,0,0,0,-0.6252025,-0.004794,-0.4327081,-1.173151,-0.0903374,0.2607373,-0.4642581,-0.6262903,-0.2337019,21099,70,238,250,12,12,,12.0,3,0,1,0,0,0,1,0,4.0,40,2.403846,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
23,1755,32.52,18,7.788462,0,1,1980,31,34.0,50501.0,400.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1.504887,1.748176,0.7282832,1.652099,3.414461,3.14943,1.507094,1.575783,1.320247,93563,72,205,225,14,16,14.0,16.0,0,0,0,1,0,0,1,0,2.0,55,7.25,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
24,392,21.31,15,5.788462,0,1,1980,31,23.0,,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,1.516609,2.715724,1.190901,1.343601,1.453594,1.695733,1.906525,1.89294,2.082921,95143,67,170,180,14,18,14.0,18.0,1,0,0,0,1,0,1,0,4.0,37,4.461538,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
25,4014,10.0,12,12.01923,0,1,1980,31,30.0,32200.0,196.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0.1601282,0.6975321,1.180892,-0.0006456,1.250154,0.0995964,0.603721,0.5696404,1.001328,74589,68,150,163,10,14,10.0,14.0,2,0,0,1,0,1,0,0,7.0,40,0.5769231,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
26,5288,8.0,8,9.884615,0,1,1984,27,19.0,18500.0,88.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,-2.44296,-1.458502,-1.491646,-1.664787,-2.268918,-0.553571,-2.153686,-1.975646,-1.573639,1668,68,158,145,11,8,11.0,8.0,2,0,1,0,0,1,0,0,6.0,50,4.480769,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
27,8878,15.0,19,7.576923,0,1,1980,31,28.0,,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0.4755392,0.057812,0.485854,0.6619365,0.8040382,-0.5331233,0.4102894,0.4698066,0.2895326,56870,73,175,190,14,14,14.0,14.0,2,0,1,0,0,1,0,0,9.0,10,4.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
28,1278,13.74,20,1.730769,0,1,1982,29,26.0,69750.0,372.0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1.469866,0.5552024,1.231979,1.107692,1.946087,0.0391112,1.298443,1.22076,0.9526708,89933,69,174,160,13,12,13.0,12.0,2,0,1,0,0,0,1,0,7.0,70,0.3461539,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
29,4296,38.46,18,6.865385,0,1,1983,28,29.0,58000.0,302.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1.798455,1.306528,1.838717,1.946296,1.212826,1.565573,1.852204,1.927405,1.676895,99676,73,215,226,16,16,16.0,16.0,2,0,0,1,0,0,1,0,3.0,40,5.865385,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
30,138,12.0,14,0.8269231,0,1,1984,27,30.0,,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0.5832804,0.2899142,0.0719109,0.0324831,-0.3495959,0.2642892,0.4195336,0.2729307,0.1925609,60424,80,162,185,18,16,18.0,16.0,2,1,0,0,0,0,1,0,5.0,35,0.4230769,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
31,113,14.8,17,2.442308,0,1,1984,27,21.0,66600.0,361.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,9.0,,1.0,0.0,0.0,0.0,,,,,1,0,0,0,0,0,1,0,0,0,0.7164777,0.7486458,1.210661,0.2243668,2.229503,1.278822,0.9317004,0.8109232,1.044461,76838,74,161,190,12,15,,15.0,5,1,0,0,0,0,1,0,6.0,35,0.7307692,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
32,2715,11.65,12,10.0,0,1,1981,30,20.0,19800.0,157.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,-1.103889,-2.273441,-1.209217,-1.649295,-1.79294,-0.6083583,-1.564096,-1.74561,-1.857614,6446,75,170,170,10,9,,9.0,5,0,1,0,0,0,1,0,11.0,31,6.211538,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
33,2676,9.75,13,6.0,0,1,1984,27,28.0,,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0.2284431,0.9615064,0.3521501,0.6388782,0.4668001,0.4500532,0.4860749,0.6096761,0.7001508,79314,71,140,155,12,12,12.0,12.0,1,0,1,0,0,1,0,0,8.0,24,0.3269231,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
34,1820,15.5,16,8.403846,0,1,1981,30,23.0,33000.0,261.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,1.218005,1.061754,0.4054948,1.485513,0.6480047,0.6443019,1.072115,1.166481,0.7820582,81111,72,230,230,19,16,,16.0,2,0,1,0,0,0,1,0,9.0,36,2.0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
35,1823,7.25,11,4.942307,0,1,1984,27,17.0,65328.0,517.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9.0,,1.0,0.0,0.0,0.0,,,,,1,0,0,0,0,0,1,0,0,0,0.4266406,1.166399,-0.2038802,-0.2558726,0.3268324,1.05441,0.4985109,0.3164998,0.5128971,51823,74,250,226,16,12,,12.0,0,0,1,0,0,0,1,0,,23,2.461539,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
36,4337,22.0,11,8.442307,0,1,1984,27,26.0,107500.0,497.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,9.0,,,,,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,-2.308697,-2.009435,-1.145796,-1.494106,0.1400439,-1.065357,-2.136253,-1.947702,-1.683004,3667,74,200,215,12,19,12.0,19.0,2,0,0,1,0,0,1,0,4.0,80,1.346154,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
37,2915,12.5,13,10.05769,0,1,1980,31,35.0,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0.6407037,0.3218957,-0.0334783,0.1859375,-0.2345915,-0.0970766,0.4309205,0.311399,0.1534143,56898,75,300,340,18,16,18.0,16.0,3,0,1,0,0,0,1,0,7.0,40,1.153846,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
38,564,28.52,14,6.807693,0,1,1983,28,26.0,46200.0,366.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0,0,0,0.7840256,1.085699,0.1917554,1.027163,1.20244,1.312797,0.7814594,0.8636688,0.680845,81035,73,145,165,12,13,12.0,13.0,1,0,0,0,1,0,1,0,7.0,40,5.442307,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
39,4743,38.0,12,9.75,0,1,1982,29,26.0,72889.0,458.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,-0.5962896,-0.2495699,-0.3727247,-0.3181845,0.8637694,-0.7042565,-0.4991467,-0.4306642,-0.3322476,30552,72,217,230,14,12,14.0,12.0,3,0,0,0,1,0,1,0,2.0,40,6.903846,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
40,2752,8.0,8,10.30769,0,1,1981,30,24.0,20600.0,129.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,-0.0052781,-0.1960582,-0.818884,-0.8934219,-1.467008,-1.339882,-0.2822376,-0.5361251,-0.5416375,28709,70,155,160,12,14,,14.0,4,0,1,0,0,0,1,0,14.0,32,0.7884616,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
41,3425,17.5,12,6.942307,0,1,1983,28,18.0,3500.0,22.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,-0.6033565,0.1409167,0.1439368,-0.5874172,-0.5111341,0.2658489,-0.2537591,-0.2541333,0.1515138,35128,74,187,180,12,12,12.0,,2,0,0,1,0,0,1,0,6.0,40,0.8461539,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
42,2164,7.5,15,2.788461,0,1,1982,29,33.0,246474.0,1627.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0.7047808,0.3594162,1.020687,1.327139,0.8865203,-0.3118456,0.7661152,0.9541607,0.7355856,82791,70,175,160,16,16,16.0,16.0,4,1,0,0,0,0,1,0,8.0,30,1.096154,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
43,5604,25.6,12,4.75,0,1,1983,28,20.0,40000.0,251.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,-0.4403231,-0.6945896,-0.4832654,-0.957403,0.0637392,0.7470898,-0.5660921,-0.721356,-0.6285151,22774,70,180,190,12,12,12.0,12.0,2,0,0,1,0,1,0,0,2.0,40,0.6346154,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
44,4870,12.94,16,8.711538,0,1,1980,31,26.0,35025.0,220.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,1.716937,0.6986703,1.087479,1.285294,1.773261,1.292413,1.433943,1.339308,0.9521204,93080,62,122,225,12,12,12.0,12.0,1,1,0,0,0,1,0,0,7.0,40,4.903846,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
45,2279,27.0,12,10.73077,0,1,1983,28,24.0,18500.0,171.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5.0,,1.0,0.0,0.0,0.0,,,,,0,0,0,1,0,0,1,0,0,0,0.5410739,-0.2256133,0.6098902,-0.3329857,-0.3091784,-0.8029175,0.4025076,0.1651332,0.204534,52083,71,155,165,12,13,,,3,1,0,0,0,0,1,0,3.0,40,5.153846,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
46,212,18.14,10,13.65385,0,1,1980,31,27.0,17900.0,113.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0.5810314,-0.8220876,-0.797464,0.4944357,-0.287677,-0.0833625,-0.1261566,-0.1528805,-0.8640618,42507,65,155,180,8,12,8.0,12.0,1,1,0,0,0,0,1,0,2.0,50,10.23077,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
47,2886,35.98,17,4.788462,0,1,1984,27,25.0,55040.0,509.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,11.0,,0.0,1.0,0.0,0.0,,,,,0,0,0,1,0,0,1,0,0,0,0.3840175,0.148766,-0.0693208,0.5275644,0.5310962,-0.1998091,0.2324304,0.2766911,0.0419742,48068,73,176,192,14,20,,20.0,0,0,1,0,0,0,1,0,5.0,36,1.134615,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
